disease	category	color	DiseaseName
A00	Infectious and parasitic	#DD3232	Cholera
A01	Infectious and parasitic	#DD3232	Typhoid and paratyphoid fevers
A02	Infectious and parasitic	#DD3232	Other salmonella infections
A03	Infectious and parasitic	#DD3232	Shigellosis
A04	Infectious and parasitic	#DD3232	Other bacterial intestinal infections
A05	Infectious and parasitic	#DD3232	Oth bacterial foodborne intoxications, NEC
A06	Infectious and parasitic	#DD3232	Amebiasis
A07	Infectious and parasitic	#DD3232	Other protozoal intestinal diseases
A08	Infectious and parasitic	#DD3232	Viral and other specified intestinal infections
A09	Infectious and parasitic	#DD3232	Infectious gastroenteritis and colitis, unspecified
A10	Infectious and parasitic	#DD3232	NA
A11	Infectious and parasitic	#DD3232	NA
A12	Infectious and parasitic	#DD3232	NA
A13	Infectious and parasitic	#DD3232	NA
A14	Infectious and parasitic	#DD3232	NA
A15	Infectious and parasitic	#DD3232	Respiratory tuberculosis
A16	Infectious and parasitic	#DD3232	NA
A17	Infectious and parasitic	#DD3232	Tuberculosis of nervous system
A18	Infectious and parasitic	#DD3232	Tuberculosis of other organs
A19	Infectious and parasitic	#DD3232	Miliary tuberculosis
A20	Infectious and parasitic	#DD3232	Plague
A21	Infectious and parasitic	#DD3232	Tularemia
A22	Infectious and parasitic	#DD3232	Anthrax
A23	Infectious and parasitic	#DD3232	Brucellosis
A24	Infectious and parasitic	#DD3232	Glanders and melioidosis
A25	Infectious and parasitic	#DD3232	Rat-bite fevers
A26	Infectious and parasitic	#DD3232	Erysipeloid
A27	Infectious and parasitic	#DD3232	Leptospirosis
A28	Infectious and parasitic	#DD3232	Other zoonotic bacterial diseases, not elsewhere classified
A29	Infectious and parasitic	#DD3232	NA
A30	Infectious and parasitic	#DD3232	Leprosy [Hansen's disease]
A31	Infectious and parasitic	#DD3232	Infection due to other mycobacteria
A32	Infectious and parasitic	#DD3232	Listeriosis
A33	Infectious and parasitic	#DD3232	Tetanus neonatorum
A34	Infectious and parasitic	#DD3232	Obstetrical tetanus
A35	Infectious and parasitic	#DD3232	Other tetanus
A36	Infectious and parasitic	#DD3232	Diphtheria
A37	Infectious and parasitic	#DD3232	Whooping cough
A38	Infectious and parasitic	#DD3232	Scarlet fever
A39	Infectious and parasitic	#DD3232	Meningococcal infection
A40	Infectious and parasitic	#DD3232	Streptococcal sepsis
A41	Infectious and parasitic	#DD3232	Other sepsis
A42	Infectious and parasitic	#DD3232	Actinomycosis
A43	Infectious and parasitic	#DD3232	Nocardiosis
A44	Infectious and parasitic	#DD3232	Bartonellosis
A45	Infectious and parasitic	#DD3232	NA
A46	Infectious and parasitic	#DD3232	Erysipelas
A47	Infectious and parasitic	#DD3232	NA
A48	Infectious and parasitic	#DD3232	Other bacterial diseases, not elsewhere classified
A49	Infectious and parasitic	#DD3232	Bacterial infection of unspecified site
A50	Infectious and parasitic	#DD3232	Congenital syphilis
A51	Infectious and parasitic	#DD3232	Early syphilis
A52	Infectious and parasitic	#DD3232	Late syphilis
A53	Infectious and parasitic	#DD3232	Other and unspecified syphilis
A54	Infectious and parasitic	#DD3232	Gonococcal infection
A55	Infectious and parasitic	#DD3232	Chlamydial lymphogranuloma (venereum)
A56	Infectious and parasitic	#DD3232	Other sexually transmitted chlamydial diseases
A57	Infectious and parasitic	#DD3232	Chancroid
A58	Infectious and parasitic	#DD3232	Granuloma inguinale
A59	Infectious and parasitic	#DD3232	Trichomoniasis
A60	Infectious and parasitic	#DD3232	Anogenital herpesviral [herpes simplex] infections
A61	Infectious and parasitic	#DD3232	NA
A62	Infectious and parasitic	#DD3232	NA
A63	Infectious and parasitic	#DD3232	Oth predominantly sexually transmitted diseases, NEC
A64	Infectious and parasitic	#DD3232	Unspecified sexually transmitted disease
A65	Infectious and parasitic	#DD3232	Nonvenereal syphilis
A66	Infectious and parasitic	#DD3232	Yaws
A67	Infectious and parasitic	#DD3232	Pinta [carate]
A68	Infectious and parasitic	#DD3232	Relapsing fevers
A69	Infectious and parasitic	#DD3232	Other spirochetal infections
A70	Infectious and parasitic	#DD3232	Chlamydia psittaci infections
A71	Infectious and parasitic	#DD3232	Trachoma
A72	Infectious and parasitic	#DD3232	NA
