disease	category	color	DiseaseName
A73	Infectious and parasitic	#DD3232	NA
A74	Infectious and parasitic	#DD3232	Other diseases caused by chlamydiae
A75	Infectious and parasitic	#DD3232	Typhus fever
A76	Infectious and parasitic	#DD3232	NA
A77	Infectious and parasitic	#DD3232	Spotted fever [tick-borne rickettsioses]
A78	Infectious and parasitic	#DD3232	Q fever
A79	Infectious and parasitic	#DD3232	Other rickettsioses
A80	Infectious and parasitic	#DD3232	Acute poliomyelitis
A81	Infectious and parasitic	#DD3232	Atypical virus infections of central nervous system
A82	Infectious and parasitic	#DD3232	Rabies
A83	Infectious and parasitic	#DD3232	Mosquito-borne viral encephalitis
A84	Infectious and parasitic	#DD3232	Tick-borne viral encephalitis
A85	Infectious and parasitic	#DD3232	Other viral encephalitis, not elsewhere classified
A86	Infectious and parasitic	#DD3232	Unspecified viral encephalitis
A87	Infectious and parasitic	#DD3232	Viral meningitis
A88	Infectious and parasitic	#DD3232	Oth viral infections of central nervous system, NEC
A89	Infectious and parasitic	#DD3232	Unspecified viral infection of central nervous system
A90	Infectious and parasitic	#DD3232	Dengue fever [classical dengue]
A91	Infectious and parasitic	#DD3232	Dengue hemorrhagic fever
A92	Infectious and parasitic	#DD3232	Other mosquito-borne viral fevers
A93	Infectious and parasitic	#DD3232	Other arthropod-borne viral fevers, not elsewhere classified Other arthropod-borne viral fevers, not elsewhere classified
A94	Infectious and parasitic	#DD3232	Unspecified arthropod-borne viral fever
A95	Infectious and parasitic	#DD3232	Yellow fever
A96	Infectious and parasitic	#DD3232	Arenaviral hemorrhagic fever
A97	Infectious and parasitic	#DD3232	NA
A98	Infectious and parasitic	#DD3232	Other viral hemorrhagic fevers, not elsewhere classified
A99	Infectious and parasitic	#DD3232	Unspecified viral hemorrhagic fever
B00	Infectious and parasitic	#DD3232	Herpesviral [herpes simplex] infections
B01	Infectious and parasitic	#DD3232	Varicella [chickenpox]
B02	Infectious and parasitic	#DD3232	Zoster [herpes zoster]
B03	Infectious and parasitic	#DD3232	Smallpox
B04	Infectious and parasitic	#DD3232	Monkeypox
B05	Infectious and parasitic	#DD3232	Measles
B06	Infectious and parasitic	#DD3232	Rubella [German measles]
B07	Infectious and parasitic	#DD3232	Viral warts
B08	Infectious and parasitic	#DD3232	Oth viral infect with skin and mucous membrane lesions, NEC
B09	Infectious and parasitic	#DD3232	Unsp viral infection with skin and mucous membrane lesions
B10	Infectious and parasitic	#DD3232	Other human herpesviruses
B11	Infectious and parasitic	#DD3232	NA
B12	Infectious and parasitic	#DD3232	NA
B13	Infectious and parasitic	#DD3232	NA
B14	Infectious and parasitic	#DD3232	NA
B15	Infectious and parasitic	#DD3232	Acute hepatitis A
B16	Infectious and parasitic	#DD3232	Acute hepatitis B
B17	Infectious and parasitic	#DD3232	Other acute viral hepatitis
B18	Infectious and parasitic	#DD3232	Chronic viral hepatitis
B19	Infectious and parasitic	#DD3232	Unspecified viral hepatitis
B20	Infectious and parasitic	#DD3232	Human immunodeficiency virus [HIV] disease
B21	Infectious and parasitic	#DD3232	NA
B22	Infectious and parasitic	#DD3232	NA
B23	Infectious and parasitic	#DD3232	NA
B24	Infectious and parasitic	#DD3232	NA
B25	Infectious and parasitic	#DD3232	Cytomegaloviral disease
B26	Infectious and parasitic	#DD3232	Mumps
B27	Infectious and parasitic	#DD3232	Infectious mononucleosis
B28	Infectious and parasitic	#DD3232	NA
B29	Infectious and parasitic	#DD3232	NA
B30	Infectious and parasitic	#DD3232	Viral conjunctivitis
B31	Infectious and parasitic	#DD3232	NA
B32	Infectious and parasitic	#DD3232	NA
B33	Infectious and parasitic	#DD3232	Other viral diseases, not elsewhere classified
B34	Infectious and parasitic	#DD3232	Viral infection of unspecified site
B35	Infectious and parasitic	#DD3232	Dermatophytosis
B36	Infectious and parasitic	#DD3232	Other superficial mycoses
B37	Infectious and parasitic	#DD3232	Candidiasis
B38	Infectious and parasitic	#DD3232	Coccidioidomycosis
B39	Infectious and parasitic	#DD3232	Histoplasmosis
B40	Infectious and parasitic	#DD3232	Blastomycosis
B41	Infectious and parasitic	#DD3232	Paracoccidioidomycosis
B42	Infectious and parasitic	#DD3232	Sporotrichosis
B43	Infectious and parasitic	#DD3232	Chromomycosis and pheomycotic abscess
B44	Infectious and parasitic	#DD3232	Aspergillosis
B45	Infectious and parasitic	#DD3232	Cryptococcosis
B46	Infectious and parasitic	#DD3232	Zygomycosis
B47	Infectious and parasitic	#DD3232	Mycetoma
B48	Infectious and parasitic	#DD3232	Other mycoses, not elsewhere classified
B49	Infectious and parasitic	#DD3232	Unspecified mycosis
B50	Infectious and parasitic	#DD3232	Plasmodium falciparum malaria
B51	Infectious and parasitic	#DD3232	Plasmodium vivax malaria
B52	Infectious and parasitic	#DD3232	Plasmodium malariae malaria
B53	Infectious and parasitic	#DD3232	Other specified malaria
B54	Infectious and parasitic	#DD3232	Unspecified malaria
B55	Infectious and parasitic	#DD3232	Leishmaniasis
B56	Infectious and parasitic	#DD3232	African trypanosomiasis
B57	Infectious and parasitic	#DD3232	Chagas' disease
B58	Infectious and parasitic	#DD3232	Toxoplasmosis
B59	Infectious and parasitic	#DD3232	Pneumocystosis
B60	Infectious and parasitic	#DD3232	Other protozoal diseases, not elsewhere classified
B61	Infectious and parasitic	#DD3232	NA
B62	Infectious and parasitic	#DD3232	NA
B63	Infectious and parasitic	#DD3232	NA
B64	Infectious and parasitic	#DD3232	Unspecified protozoal disease
B65	Infectious and parasitic	#DD3232	Schistosomiasis [bilharziasis]
B66	Infectious and parasitic	#DD3232	Other fluke infections
B67	Infectious and parasitic	#DD3232	Echinococcosis
B68	Infectious and parasitic	#DD3232	Taeniasis
B69	Infectious and parasitic	#DD3232	Cysticercosis
B70	Infectious and parasitic	#DD3232	Diphyllobothriasis and sparganosis
B71	Infectious and parasitic	#DD3232	Other cestode infections
B72	Infectious and parasitic	#DD3232	Dracunculiasis
B73	Infectious and parasitic	#DD3232	Onchocerciasis
B74	Infectious and parasitic	#DD3232	Filariasis
B75	Infectious and parasitic	#DD3232	Trichinellosis
B76	Infectious and parasitic	#DD3232	Hookworm diseases
B77	Infectious and parasitic	#DD3232	Ascariasis
B78	Infectious and parasitic	#DD3232	Strongyloidiasis
B79	Infectious and parasitic	#DD3232	Trichuriasis
B80	Infectious and parasitic	#DD3232	Enterobiasis
B81	Infectious and parasitic	#DD3232	Other intestinal helminthiases, not elsewhere classified
B82	Infectious and parasitic	#DD3232	Unspecified intestinal parasitism
B83	Infectious and parasitic	#DD3232	Other helminthiases
B84	Infectious and parasitic	#DD3232	NA
B85	Infectious and parasitic	#DD3232	Pediculosis and phthiriasis
B86	Infectious and parasitic	#DD3232	Scabies
B87	Infectious and parasitic	#DD3232	Myiasis
B88	Infectious and parasitic	#DD3232	Other infestations
B89	Infectious and parasitic	#DD3232	Unspecified parasitic disease
B90	Infectious and parasitic	#DD3232	Sequelae of tuberculosis
B91	Infectious and parasitic	#DD3232	Sequelae of poliomyelitis
B92	Infectious and parasitic	#DD3232	Sequelae of leprosy
B93	Infectious and parasitic	#DD3232	NA
B94	Infectious and parasitic	#DD3232	Sequelae of other and unsp infectious and parasitic diseases Sequelae of other and unspecified infectious and parasitic diseases
B95	Infectious and parasitic	#DD3232	Strep as the cause of diseases classified elsewhere
B96	Infectious and parasitic	#DD3232	Oth bacterial agents as the cause of diseases classd elswhr
B97	Infectious and parasitic	#DD3232	Viral agents as the cause of diseases classified elsewhere
B98	Infectious and parasitic	#DD3232	NA
B99	Infectious and parasitic	#DD3232	Other and unspecified infectious diseases
C00	Neoplasms	#FAC6CC	Malignant neoplasm of lip
C01	Neoplasms	#FAC6CC	Malignant neoplasm of base of tongue
C02	Neoplasms	#FAC6CC	Malignant neoplasm of other and unspecified parts of tongue
C03	Neoplasms	#FAC6CC	Malignant neoplasm of gum
C04	Neoplasms	#FAC6CC	Malignant neoplasm of floor of mouth
C05	Neoplasms	#FAC6CC	Malignant neoplasm of palate
C06	Neoplasms	#FAC6CC	Malignant neoplasm of other and unspecified parts of mouth
C07	Neoplasms	#FAC6CC	Malignant neoplasm of parotid gland
C08	Neoplasms	#FAC6CC	Malignant neoplasm of other and unsp major salivary glands
C09	Neoplasms	#FAC6CC	Malignant neoplasm of tonsil
C10	Neoplasms	#FAC6CC	Malignant neoplasm of oropharynx
C11	Neoplasms	#FAC6CC	Malignant neoplasm of nasopharynx
C12	Neoplasms	#FAC6CC	Malignant neoplasm of pyriform sinus
C13	Neoplasms	#FAC6CC	Malignant neoplasm of hypopharynx
C14	Neoplasms	#FAC6CC	Malig neoplasm of sites in the lip, oral cavity and pharynx
C15	Neoplasms	#FAC6CC	Malignant neoplasm of esophagus
C16	Neoplasms	#FAC6CC	Malignant neoplasm of stomach
C17	Neoplasms	#FAC6CC	Malignant neoplasm of small intestine
C18	Neoplasms	#FAC6CC	Malignant neoplasm of colon
C19	Neoplasms	#FAC6CC	Malignant neoplasm of rectosigmoid junction
C20	Neoplasms	#FAC6CC	Malignant neoplasm of rectum
C21	Neoplasms	#FAC6CC	Malignant neoplasm of anus and anal canal
C22	Neoplasms	#FAC6CC	Malignant neoplasm of liver and intrahepatic bile ducts
C23	Neoplasms	#FAC6CC	Malignant neoplasm of gallbladder
C24	Neoplasms	#FAC6CC	Malignant neoplasm of other and unsp parts of biliary tract
C25	Neoplasms	#FAC6CC	Malignant neoplasm of pancreas
C26	Neoplasms	#FAC6CC	Malignant neoplasm of other and ill-defined digestive organs Malignant neoplasm of other and ill-defined digestive organs
C27	Neoplasms	#FAC6CC	NA
C28	Neoplasms	#FAC6CC	NA
C29	Neoplasms	#FAC6CC	NA
C30	Neoplasms	#FAC6CC	Malignant neoplasm of nasal cavity and middle ear
C31	Neoplasms	#FAC6CC	Malignant neoplasm of accessory sinuses
C32	Neoplasms	#FAC6CC	Malignant neoplasm of larynx
C33	Neoplasms	#FAC6CC	Malignant neoplasm of trachea
C34	Neoplasms	#FAC6CC	Malignant neoplasm of bronchus and lung
C35	Neoplasms	#FAC6CC	NA
C36	Neoplasms	#FAC6CC	NA
C37	Neoplasms	#FAC6CC	Malignant neoplasm of thymus
C38	Neoplasms	#FAC6CC	Malignant neoplasm of heart, mediastinum and pleura
C39	Neoplasms	#FAC6CC	Malig neoplm of sites in the resp sys and intrathorac organs Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C40	Neoplasms	#FAC6CC	Malignant neoplasm of bone and articular cartilage of limbs
C41	Neoplasms	#FAC6CC	Malignant neoplasm of bone/artic cartl of and unsp sites
C42	Neoplasms	#FAC6CC	NA
C43	Neoplasms	#FAC6CC	Malignant melanoma of skin
C44	Neoplasms	#FAC6CC	Other and unspecified malignant neoplasm of skin
C45	Neoplasms	#FAC6CC	Mesothelioma
C46	Neoplasms	#FAC6CC	Kaposi's sarcoma
C47	Neoplasms	#FAC6CC	Malignant neoplasm of prph nerves and autonomic nervous sys
C48	Neoplasms	#FAC6CC	Malignant neoplasm of retroperitoneum and peritoneum
C49	Neoplasms	#FAC6CC	Malignant neoplasm of other connective and soft tissue
C50	Neoplasms	#FAC6CC	Malignant neoplasm of breast
C51	Neoplasms	#FAC6CC	Malignant neoplasm of vulva
C52	Neoplasms	#FAC6CC	Malignant neoplasm of vagina
C53	Neoplasms	#FAC6CC	Malignant neoplasm of cervix uteri
C54	Neoplasms	#FAC6CC	Malignant neoplasm of corpus uteri
C55	Neoplasms	#FAC6CC	Malignant neoplasm of uterus, part unspecified
C56	Neoplasms	#FAC6CC	Malignant neoplasm of ovary
C57	Neoplasms	#FAC6CC	Malignant neoplasm of other and unsp female genital organs
C58	Neoplasms	#FAC6CC	Malignant neoplasm of placenta
C59	Neoplasms	#FAC6CC	NA
C60	Neoplasms	#FAC6CC	Malignant neoplasm of penis
C61	Neoplasms	#FAC6CC	Malignant neoplasm of prostate
C62	Neoplasms	#FAC6CC	Malignant neoplasm of testis
C63	Neoplasms	#FAC6CC	Malignant neoplasm of other and unsp male genital organs
C64	Neoplasms	#FAC6CC	Malignant neoplasm of kidney, except renal pelvis
C65	Neoplasms	#FAC6CC	Malignant neoplasm of renal pelvis
C66	Neoplasms	#FAC6CC	Malignant neoplasm of ureter
C67	Neoplasms	#FAC6CC	Malignant neoplasm of bladder
C68	Neoplasms	#FAC6CC	Malignant neoplasm of other and unspecified urinary organs
C69	Neoplasms	#FAC6CC	Malignant neoplasm of eye and adnexa
C70	Neoplasms	#FAC6CC	Malignant neoplasm of meninges
C71	Neoplasms	#FAC6CC	Malignant neoplasm of brain
C72	Neoplasms	#FAC6CC	Malig neoplm of spinal cord, cranial nerves and oth prt cnsl Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system
C73	Neoplasms	#FAC6CC	Malignant neoplasm of thyroid gland
C74	Neoplasms	#FAC6CC	Malignant neoplasm of adrenal gland
C75	Neoplasms	#FAC6CC	Malignant neoplasm of endo glands and related structures
C76	Neoplasms	#FAC6CC	Malignant neoplasm of other and ill-defined sites
C77	Neoplasms	#FAC6CC	Secondary and unspecified malignant neoplasm of lymph nodes
C78	Neoplasms	#FAC6CC	Secondary malignant neoplasm of resp and digestive organs
C79	Neoplasms	#FAC6CC	Secondary malignant neoplasm of other and unspecified sites
C80	Neoplasms	#FAC6CC	Malignant neoplasm without specification of site
C81	Neoplasms	#FAC6CC	Hodgkin lymphoma
C82	Neoplasms	#FAC6CC	Follicular lymphoma
C83	Neoplasms	#FAC6CC	Non-follicular lymphoma
C84	Neoplasms	#FAC6CC	Mature T/NK-cell lymphomas
C85	Neoplasms	#FAC6CC	Oth and unspecified types of non-Hodgkin lymphoma
C86	Neoplasms	#FAC6CC	Other specified types of T/NK-cell lymphoma
C87	Neoplasms	#FAC6CC	NA
C88	Neoplasms	#FAC6CC	Malig immunoproliferative dis and certain oth B-cell lymph
C89	Neoplasms	#FAC6CC	NA
C90	Neoplasms	#FAC6CC	Multiple myeloma and malignant plasma cell neoplasms
C91	Neoplasms	#FAC6CC	Lymphoid leukemia
C92	Neoplasms	#FAC6CC	Myeloid leukemia
C93	Neoplasms	#FAC6CC	Monocytic leukemia
C94	Neoplasms	#FAC6CC	Other leukemias of specified cell type
C95	Neoplasms	#FAC6CC	Leukemia of unspecified cell type
C96	Neoplasms	#FAC6CC	Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue
C97	Neoplasms	#FAC6CC	NA
C98	Neoplasms	#FAC6CC	NA
C99	Neoplasms	#FAC6CC	NA
D00	Neoplasms	#FAC6CC	Carcinoma in situ of oral cavity, esophagus and stomach
D01	Neoplasms	#FAC6CC	Carcinoma in situ of other and unspecified digestive organs
D02	Neoplasms	#FAC6CC	Carcinoma in situ of middle ear and respiratory system
D03	Neoplasms	#FAC6CC	Melanoma in situ
D04	Neoplasms	#FAC6CC	Carcinoma in situ of skin
D05	Neoplasms	#FAC6CC	Carcinoma in situ of breast
D06	Neoplasms	#FAC6CC	Carcinoma in situ of cervix uteri
D07	Neoplasms	#FAC6CC	Carcinoma in situ of other and unspecified genital organs
D08	Neoplasms	#FAC6CC	NA
D09	Neoplasms	#FAC6CC	Carcinoma in situ of other and unspecified sites
D10	Neoplasms	#FAC6CC	Benign neoplasm of mouth and pharynx
D11	Neoplasms	#FAC6CC	Benign neoplasm of major salivary glands
D12	Neoplasms	#FAC6CC	Benign neoplasm of colon, rectum, anus and anal canal
D13	Neoplasms	#FAC6CC	Benign neoplasm of and ill-defined parts of digestive system Benign neoplasm of other and ill-defined parts of digestive system
D14	Neoplasms	#FAC6CC	Benign neoplasm of middle ear and respiratory system
D15	Neoplasms	#FAC6CC	Benign neoplasm of other and unsp intrathoracic organs
D16	Neoplasms	#FAC6CC	Benign neoplasm of bone and articular cartilage
D17	Neoplasms	#FAC6CC	Benign lipomatous neoplasm
D18	Neoplasms	#FAC6CC	Hemangioma and lymphangioma, any site
D19	Neoplasms	#FAC6CC	Benign neoplasm of mesothelial tissue
D20	Neoplasms	#FAC6CC	Benign neoplm of soft tissue of retroperiton and peritoneum
D21	Neoplasms	#FAC6CC	Other benign neoplasms of connective and other soft tissue
D22	Neoplasms	#FAC6CC	Melanocytic nevi
D23	Neoplasms	#FAC6CC	Other benign neoplasms of skin
D24	Neoplasms	#FAC6CC	Benign neoplasm of breast
D25	Neoplasms	#FAC6CC	Leiomyoma of uterus
D26	Neoplasms	#FAC6CC	Other benign neoplasms of uterus
D27	Neoplasms	#FAC6CC	Benign neoplasm of ovary
D28	Neoplasms	#FAC6CC	Benign neoplasm of other and unsp female genital organs
D29	Neoplasms	#FAC6CC	Benign neoplasm of male genital organs
D30	Neoplasms	#FAC6CC	Benign neoplasm of urinary organs
D31	Neoplasms	#FAC6CC	Benign neoplasm of eye and adnexa
D32	Neoplasms	#FAC6CC	Benign neoplasm of meninges
D33	Neoplasms	#FAC6CC	Benign neoplasm of brain and oth prt central nervous system
D34	Neoplasms	#FAC6CC	Benign neoplasm of thyroid gland
D35	Neoplasms	#FAC6CC	Benign neoplasm of other and unspecified endocrine glands
D36	Neoplasms	#FAC6CC	Benign neoplasm of other and unspecified sites
D37	Neoplasms	#FAC6CC	Neoplasm of uncrt behavior of oral cavity and dgstv organs
D38	Neoplasms	#FAC6CC	Neoplm of uncrt behav of mid ear & resp and intrathorac org
D39	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of female genital organs
D40	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of male genital organs
D41	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of urinary organs
D42	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of meninges
D43	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of brain and cnsl
D44	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of endocrine glands
D45	Neoplasms	#FAC6CC	Polycythemia vera
D46	Neoplasms	#FAC6CC	Myelodysplastic syndromes
D47	Neoplasms	#FAC6CC	Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue
D48	Neoplasms	#FAC6CC	Neoplasm of uncertain behavior of other and unsp sites
D50	Blood and blood-forming organs (immune)	#FFB6AD	Iron deficiency anemia
D51	Blood and blood-forming organs (immune)	#FFB6AD	Vitamin B12 deficiency anemia
D52	Blood and blood-forming organs (immune)	#FFB6AD	Folate deficiency anemia
D53	Blood and blood-forming organs (immune)	#FFB6AD	Other nutritional anemias
D54	Blood and blood-forming organs (immune)	#FFB6AD	NA
D55	Blood and blood-forming organs (immune)	#FFB6AD	Anemia due to enzyme disorders
D56	Blood and blood-forming organs (immune)	#FFB6AD	Thalassemia
D57	Blood and blood-forming organs (immune)	#FFB6AD	Sickle-cell disorders
D58	Blood and blood-forming organs (immune)	#FFB6AD	Other hereditary hemolytic anemias
D59	Blood and blood-forming organs (immune)	#FFB6AD	Acquired hemolytic anemia
D60	Blood and blood-forming organs (immune)	#FFB6AD	Acquired pure red cell aplasia [erythroblastopenia]
D61	Blood and blood-forming organs (immune)	#FFB6AD	Oth aplastic anemias and other bone marrow failure syndromes Other aplastic anemias and other bone marrow failure syndromes
D62	Blood and blood-forming organs (immune)	#FFB6AD	Acute posthemorrhagic anemia
D63	Blood and blood-forming organs (immune)	#FFB6AD	Anemia in chronic diseases classified elsewhere
D64	Blood and blood-forming organs (immune)	#FFB6AD	Other anemias
D65	Blood and blood-forming organs (immune)	#FFB6AD	Disseminated intravascular coagulation
D66	Blood and blood-forming organs (immune)	#FFB6AD	Hereditary factor VIII deficiency
D67	Blood and blood-forming organs (immune)	#FFB6AD	Hereditary factor IX deficiency
D68	Blood and blood-forming organs (immune)	#FFB6AD	Other coagulation defects
D69	Blood and blood-forming organs (immune)	#FFB6AD	Purpura and other hemorrhagic conditions
D70	Blood and blood-forming organs (immune)	#FFB6AD	Neutropenia
D71	Blood and blood-forming organs (immune)	#FFB6AD	Functional disorders of polymorphonuclear neutrophils
D72	Blood and blood-forming organs (immune)	#FFB6AD	Other disorders of white blood cells
D73	Blood and blood-forming organs (immune)	#FFB6AD	Diseases of spleen
D74	Blood and blood-forming organs (immune)	#FFB6AD	Methemoglobinemia
D75	Blood and blood-forming organs (immune)	#FFB6AD	Other and unsp diseases of blood and blood-forming organs
D76	Blood and blood-forming organs (immune)	#FFB6AD	Oth dis with lymphoreticular and reticulohistiocytic tissue
D77	Blood and blood-forming organs (immune)	#FFB6AD	Oth disord of bld/bld-frm organs in diseases classd elswhr
D78	Blood and blood-forming organs (immune)	#FFB6AD	Intraop and postprocedural complications of the spleen
D79	Blood and blood-forming organs (immune)	#FFB6AD	NA
D80	Blood and blood-forming organs (immune)	#FFB6AD	Immunodeficiency with predominantly antibody defects
D81	Blood and blood-forming organs (immune)	#FFB6AD	Combined immunodeficiencies
D82	Blood and blood-forming organs (immune)	#FFB6AD	Immunodeficiency associated with other major defects
D83	Blood and blood-forming organs (immune)	#FFB6AD	Common variable immunodeficiency
D84	Blood and blood-forming organs (immune)	#FFB6AD	Other immunodeficiencies
D85	Blood and blood-forming organs (immune)	#FFB6AD	NA
D86	Blood and blood-forming organs (immune)	#FFB6AD	Sarcoidosis
D87	Blood and blood-forming organs (immune)	#FFB6AD	NA
D88	Blood and blood-forming organs (immune)	#FFB6AD	NA
D89	Blood and blood-forming organs (immune)	#FFB6AD	Oth disorders involving the immune mechanism, NEC
E00	Endocrine, nutritional and metabolic	#FBAF5F	Congenital iodine-deficiency syndrome
E01	Endocrine, nutritional and metabolic	#FBAF5F	Iodine-deficiency related thyroid disorders and allied cond
E02	Endocrine, nutritional and metabolic	#FBAF5F	Subclinical iodine-deficiency hypothyroidism
E03	Endocrine, nutritional and metabolic	#FBAF5F	Other hypothyroidism
E04	Endocrine, nutritional and metabolic	#FBAF5F	Other nontoxic goiter
E05	Endocrine, nutritional and metabolic	#FBAF5F	Thyrotoxicosis [hyperthyroidism]
E06	Endocrine, nutritional and metabolic	#FBAF5F	Thyroiditis
E07	Endocrine, nutritional and metabolic	#FBAF5F	Other disorders of thyroid
E08	Endocrine, nutritional and metabolic	#FBAF5F	Diabetes mellitus due to underlying condition
E09	Endocrine, nutritional and metabolic	#FBAF5F	Drug or chemical induced diabetes mellitus
E10	Endocrine, nutritional and metabolic	#FBAF5F	Type 1 diabetes mellitus
E11	Endocrine, nutritional and metabolic	#FBAF5F	Type 2 diabetes mellitus
E12	Endocrine, nutritional and metabolic	#FBAF5F	NA
E13	Endocrine, nutritional and metabolic	#FBAF5F	Other specified diabetes mellitus
E14	Endocrine, nutritional and metabolic	#FBAF5F	NA
E15	Endocrine, nutritional and metabolic	#FBAF5F	Nondiabetic hypoglycemic coma
E16	Endocrine, nutritional and metabolic	#FBAF5F	Other disorders of pancreatic internal secretion
E17	Endocrine, nutritional and metabolic	#FBAF5F	NA
E18	Endocrine, nutritional and metabolic	#FBAF5F	NA
E19	Endocrine, nutritional and metabolic	#FBAF5F	NA
E20	Endocrine, nutritional and metabolic	#FBAF5F	Hypoparathyroidism
E21	Endocrine, nutritional and metabolic	#FBAF5F	Hyperparathyroidism and other disorders of parathyroid gland Hyperparathyroidism and other disorders of parathyroid gland
E22	Endocrine, nutritional and metabolic	#FBAF5F	Hyperfunction of pituitary gland
E23	Endocrine, nutritional and metabolic	#FBAF5F	Hypofunction and other disorders of the pituitary gland
E24	Endocrine, nutritional and metabolic	#FBAF5F	Cushing's syndrome
E25	Endocrine, nutritional and metabolic	#FBAF5F	Adrenogenital disorders
E26	Endocrine, nutritional and metabolic	#FBAF5F	Hyperaldosteronism
