disease_a	disease_b	window	n_cases	cases_event	RR_shrunk	CI_low_RR_shrunk	CI_high_RR_shrunk	lfsr	theta	directionality_fdr
A09	A08	4_5	167215	1345	3.19471992120002	2.98490355220827	3.41928480984304	5.24491661312368e-248	0.506591337099812	0.843605134760532
B02	A08	4_5	32228	105	1.42723247907889	1.15853033112721	1.75825569224049	0.000418669759858495	0.452586206896552	1
B07	A08	4_5	80259	401	1.54920811559093	1.3870290616329	1.73035003505068	4.4640817313962e-15	0.498756218905473	0.96122077796362
B34	A08	4_5	99414	748	2.35138025963251	2.15778907853628	2.56233993414221	4.61678467489798e-85	0.465463596764157	1
B35	A08	4_5	65544	278	1.51397196225468	1.32684152067988	1.72749425366099	3.71029847422842e-10	0.43167701863354	1
B49	A08	4_5	30831	142	1.52636422915298	1.27193882308297	1.83168224584163	2.777386274157e-06	0.427710843373494	1
D17	A08	4_5	38919	139	1.46803155597406	1.22200436610123	1.76359161155166	2.07215259460889e-05	0.419939577039275	1
D22	A08	4_5	52439	234	1.38593205939649	1.20250606252857	1.59733720528943	3.37052121661608e-06	0.478527607361963	1
D23	A08	4_5	31261	114	1.47064438751222	1.20241774343867	1.79870508924464	8.78663009866058e-05	0.377483443708609	1
E66	A08	4_5	98302	327	1.2440485421251	1.10402517667505	1.40183105228144	0.000172284782827821	0.34750265674814	1
E78	A08	4_5	159900	417	1.12664032339209	1.01423352001858	1.25150509546341	0.0132440424194909	0.538759689922481	0.165939390539819
F17	A08	4_5	144355	562	1.32313923485374	1.20671633288408	1.45079451325992	1.32501414980983e-09	0.586638830897704	1.81952449271128e-06
F32	A08	4_5	53849	187	1.44529282429377	1.23285758002969	1.69433305338055	2.85067040251886e-06	0.493403693931399	1
F41	A08	4_5	140505	799	2.01582816526925	1.85822922332348	2.18679328733462	3.49209346131639e-64	0.512508017960231	0.770406320834335
F43	A08	4_5	22739	114	1.72513850915788	1.4049702660442	2.11826751619372	9.67973364039231e-08	0.395833333333333	1
F51	A08	4_5	44666	174	1.69787619615063	1.43562747178908	2.0080303798188	3.16461452878906e-10	0.402777777777778	1
