disease_a	disease_b	window	n_cases	cases_event	RR_shrunk	CI_low_RR_shrunk	CI_high_RR_shrunk	lfsr	theta	directionality_fdr
A09	A08	1_2	172434	1903	4.01024641872265	3.77684077832307	4.258076334904	0	0.511559139784946	0.837597068724669
B02	A08	1_2	32570	126	1.67185441987331	1.37157489997899	2.03787427233666	1.84133115487724e-07	0.56	0.593238214502703
B07	A08	1_2	81454	423	1.63223965835377	1.46379446046693	1.82006857810692	6.24165114159576e-19	0.457792207792208	1
B08	A08	1_2	20202	132	1.23185156506272	1.02197492310208	1.48482926933415	0.0144350845339707	0.435643564356436	1
B34	A08	1_2	102280	1076	3.2511880463323	3.01252699555687	3.50875651179356	4.87035097500036e-202	0.508506616257089	0.928944687508532
B35	A08	1_2	66406	295	1.630574782565	1.43155208327345	1.85726677541289	9.43893685882939e-14	0.486798679867987	1
B37	A08	1_2	17877	101	2.06687537836569	1.64762591065863	2.59280568608357	1.75223158422917e-10	0.446902654867257	1
B49	A08	1_2	31251	136	1.5386113522547	1.27390362480602	1.85832338270293	3.91836311102033e-06	0.422360248447205	1
D17	A08	1_2	39364	153	1.52270760627192	1.27428587172398	1.81955910023665	1.88640972121149e-06	0.501639344262295	0.928944687508532
D22	A08	1_2	53209	273	1.73328225822467	1.51249209081969	1.98630287385387	1.32145997891785e-15	0.519011406844107	0.928944687508532
D23	A08	1_2	31641	125	1.73604325679216	1.42178258677795	2.11976586116695	3.14052037657848e-08	0.464684014869888	1
E66	A08	1_2	99401	385	1.46152097808993	1.30574347406722	1.6358830136393	2.15249136371046e-11	0.442528735632184	1
E78	A08	1_2	161338	492	1.24473966665831	1.12835610781501	1.37312753218743	6.38237394070622e-06	0.476744186046512	1
F17	A08	1_2	146107	607	1.37643948121961	1.25881293223661	1.50505734167657	1.25793910052614e-12	0.519691780821918	0.896876443478654
F32	A08	1_2	54496	211	1.56357670245963	1.34210658627075	1.82159310555782	4.98142072724214e-09	0.452789699570815	1
F41	A08	1_2	143166	892	2.13587878039474	1.97566687216198	2.3090826843436	2.33254724188315e-81	0.500280426247897	0.928944687508532
F43	A08	1_2	23155	146	2.2018569123773	1.81810780085214	2.66660418062746	3.36216277129671e-16	0.463492063492064	1
F51	A08	1_2	45240	193	2.17737757433377	1.84259820879437	2.57298258436583	3.36448576320537e-20	0.440639269406393	1
F52	A08	1_2	41375	132	1.51047559991831	1.24756416913128	1.82879293458492	1.20285160054979e-05	0.492537313432836	1
G43	A08	1_2	20137	137	1.86723614811917	1.54005368665788	2.26392811046039	1.07610472474893e-10	0.498181818181818	1
G44	A08	1_2	18384	109	1.87977431359343	1.51548868250627	2.33162511263493	4.74064790442375e-09	0.439516129032258	1
H00	A08	1_2	30564	162	1.6988935333642	1.42545304982576	2.02478730397995	1.65550015092145e-09	0.47787610619469	1
H10	A08	1_2	107178	585	1.67432206445445	1.52559122108338	1.8375527708715	9.75143872099874e-28	0.471774193548387	1
H52	A08	1_2	47583	221	1.32289904399397	1.14266680096178	1.53155922542524	9.20048135950545e-05	0.491111111111111	1
H53	A08	1_2	29696	103	1.34286701349068	1.08560918610968	1.66108746959257	0.00332246436488556	0.41869918699187	1
H54	A08	1_2	46249	170	1.51809421604999	1.28181765666711	1.79792346970529	6.7466321656491e-07	0.474860335195531	1
H57	A08	1_2	38177	147	1.47234231275637	1.22870078827143	1.76429599999077	1.40904901447757e-05	0.474193548387097	1
H60	A08	1_2	69644	394	1.72606865570339	1.5407439047813	1.93368475770449	2.40236452129226e-21	0.476997578692494	1
H61	A08	1_2	156217	625	1.50809483419767	1.37973588161482	1.64839521769328	7.49842263386939e-20	0.521702838063439	0.761608898393884
H65	A08	1_2	56723	390	1.71870941823402	1.53349882625956	1.92628909376571	6.79255428608251e-21	0.498084291187739	1
H66	A08	1_2	52206	331	1.56838396741262	1.38785248652438	1.77239893513261	2.8478430877361e-13	0.534733441033926	0.638322331434664
